,Date,Donor,Purpose,Amount,Country,medical,children,education,skill_development_project,building,relief,covid_19,foodbank,food,teen,women_empowerment,charity,community,non_reg_purpose,value_amount
0,2018-05-07,it will be,,402553,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402553
1,2018-05-08,operation blessing,,75000,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000
2,2018-05-25,operation blessing,,75000,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000
3,2018-06-28,operation blessing,,75000,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000
4,2018-08-08,it will be,,324808,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,324808
5,2018-08-18,operation blessing,,217500,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217500
6,2018-08-24,operation blessing,,9700,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9700
7,2018-09-10,operation blessing,,70000,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70000
8,2018-10-16,foundation international research education,,1802664,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1802664
9,2018-10-22,it will be,,266165,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266165
10,2018-10-25,operation blessing,,57500,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57500
11,2018-11-01,operation blessing,,57500,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57500
12,2018-11-21,operation blessing,,57500,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57500
13,2018-12-03,operation blessing,,72500,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72500
14,2018-12-19,operation blessing,medical clinic,72500,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72500
15,2019-01-17,operation blessing,medical clinic,145000,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145000
16,2019-01-17,operation blessing,children education,170500,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,170500
17,2019-01-24,foundation international research education,skill development project,1413931,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1413931
18,2019-02-01,imn,school building,668383,usa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,668383
19,2019-02-15,it will be,informal education,392801,spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,392801
20,2019-02-18,operation blessing,medical clinic,72500,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72500
21,2019-02-26,operation blessing,children education,76000,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,76000
22,2019-03-16,operation blessing,medical clinic,72500,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72500
23,2019-03-16,operation blessing,children education,76000,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,76000
24,2019-03-26,imn,school building,1366589,usa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1366589
25,2019-05-17,it will be,children project,442751,spain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,442751
26,2019-05-17,streets of india,children,152275,spain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,152275
27,2019-05-23,operation blessing,children,96420,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96420
28,2019-06-18,operation blessing,children,94257,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94257
29,2019-06-20,operation blessing,children,46500,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46500
